#Elist Carrier_QAH Carrier_Axion
-4.736842105263159297e-01 -8.187950042240466075e-02 -6.935382350211405367e-03
-4.586466165413534135e-01 -7.856590146608688485e-02 -5.660149863948582549e-03
-4.436090225563908973e-01 -7.539353974422624560e-02 -4.585657310057555947e-03
-4.285714285714288252e-01 -7.234519286627794088e-02 -3.687567596638352541e-03
-4.135338345864663090e-01 -6.940477583258441996e-02 -2.943025226978868147e-03
-3.984962406015037928e-01 -6.655746176743981835e-02 -2.330862908572761683e-03
-3.834586466165417207e-01 -6.378975800533304152e-02 -1.831739266568099822e-03
-3.684210526315792045e-01 -6.108953971309105668e-02 -1.428211365952058998e-03
-3.533834586466166883e-01 -5.844604497420746725e-02 -1.104748208905270701e-03
-3.383458646616541721e-01 -5.584983656224373760e-02 -8.476931632639406189e-04
-3.233082706766916559e-01 -5.329273645659959868e-02 -6.451843774488708050e-04
-3.082706766917295838e-01 -5.076773951707203025e-02 -4.870426812546568840e-04
-2.932330827067670675e-01 -4.826891267848232303e-02 -3.646363366716087739e-04
-2.781954887218045513e-01 -4.579128562421708182e-02 -2.707313935728095089e-04
-2.631578947368424792e-01 -4.333073823324085083e-02 -1.993354420806170424e-04
-2.481203007518799630e-01 -4.088388925973163168e-02 -1.455413607445166235e-04
-2.330827067669174468e-01 -3.844798978458285887e-02 -1.053763541332131126e-04
-2.180451127819549306e-01 -3.602082404968776075e-02 -7.566025696803535538e-05
-2.030075187969924144e-01 -3.360061941079628411e-02 -5.387583653693184260e-05
-1.879699248120303423e-01 -3.118596636669224154e-02 -3.805271059054149418e-05
-1.729323308270678261e-01 -2.877574896925416681e-02 -2.666555186081609463e-05
-1.578947368421053099e-01 -2.636908540238636078e-02 -1.854649043853129342e-05
-1.428571428571432378e-01 -2.396527813706939014e-02 -1.281105193040588119e-05
-1.278195488721807216e-01 -2.156377281439958438e-02 -8.796570454272512052e-06
-1.127819548872182054e-01 -1.916412486163565632e-02 -6.011769673186506679e-06
-9.774436090225568918e-02 -1.676597278746427833e-02 -4.096085895355372486e-06
-8.270676691729317298e-02 -1.436901711067761767e-02 -2.787286328853610939e-06
-6.766917293233110087e-02 -1.197300393092959325e-02 -1.895985199951155664e-06
-5.263157894736858466e-02 -9.577712232543333926e-03 -1.285755067748084457e-06
-3.759398496240606846e-02 -7.182944107425370817e-03 -8.576484731293021468e-07
-2.255639097744399635e-02 -4.788517178273110630e-03 -5.380676952881913166e-07
-7.518796992481480146e-03 -2.394258589136555315e-03 -2.690338476440956583e-07
7.518796992481036057e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.255639097744355226e-02 2.394426929154036543e-03 3.195807778411108302e-07
3.759398496240606846e-02 4.789195054271999652e-03 7.476873724598931403e-07
5.263157894736814058e-02 7.184486752656482622e-03 1.357917504662964348e-06
6.766917293233065678e-02 9.580499932406283392e-03 2.249218634453598042e-06
8.270676691729317298e-02 1.197745560919294405e-02 3.558018200067181169e-06
9.774436090225524509e-02 1.437560768336432204e-02 5.473701978786493783e-06
1.127819548872177613e-01 1.677525563612825010e-02 8.258502758984320735e-06
1.278195488721802775e-01 1.917676095879805587e-02 1.227298423511768988e-05
1.428571428571427937e-01 2.158056822411502651e-02 1.800842274324310210e-05
1.578947368421053099e-01 2.398723179098105618e-02 2.612748416641608173e-05
1.729323308270673820e-01 2.639744918841913091e-02 3.751464289525330287e-05
1.879699248120298982e-01 2.881210223252494984e-02 5.333776884253182970e-05
2.030075187969924144e-01 3.123230687141642647e-02 7.512218927274716407e-05
2.180451127819544865e-01 3.365947260630974824e-02 1.048382864379249213e-04
2.330827067669170027e-01 3.609537208146029741e-02 1.450032930501166106e-04
2.481203007518795189e-01 3.854222105496774020e-02 1.987973743853288511e-04
2.631578947368420351e-01 4.100276844594574754e-02 2.701933258775213176e-04
2.781954887218045513e-01 4.348039550021098876e-02 3.640982689772087610e-04
2.932330827067666235e-01 4.597922233879891962e-02 4.865046135593686927e-04
3.082706766917291397e-01 4.850421927832826441e-02 6.446463097535826137e-04
3.233082706766916559e-01 5.106131938397240333e-02 8.471550955686524276e-04
3.383458646616537280e-01 5.365752779593613297e-02 1.104210141210870688e-03
3.533834586466162442e-01 5.630102253481794605e-02 1.427673298257658985e-03
